UMAP_dim	cluster_num	rep1	rep2	ARI	NMI
2	1	1	2	NA	NA
2	1	1	3	NA	NA
2	1	1	4	NA	NA
2	1	1	5	NA	NA
2	1	1	6	NA	NA
2	1	1	7	NA	NA
2	1	1	8	NA	NA
2	1	1	9	NA	NA
2	1	1	10	NA	NA
2	1	1	11	NA	NA
2	1	1	12	NA	NA
2	1	1	13	NA	NA
2	1	1	14	NA	NA
2	1	1	15	NA	NA
2	1	1	16	NA	NA
2	1	1	17	NA	NA
2	1	1	18	NA	NA
2	1	1	19	NA	NA
2	1	1	20	NA	NA
2	1	1	21	NA	NA
2	1	1	22	NA	NA
2	1	1	23	NA	NA
2	1	1	24	NA	NA
2	1	1	25	NA	NA
2	1	1	26	NA	NA
2	1	1	27	NA	NA
2	1	1	28	NA	NA
2	1	1	29	NA	NA
2	1	1	30	NA	NA
2	1	1	31	NA	NA
2	1	1	32	NA	NA
2	1	1	33	NA	NA
2	1	1	34	NA	NA
2	1	1	35	NA	NA
2	1	1	36	NA	NA
2	1	1	37	NA	NA
2	1	1	38	NA	NA
2	1	1	39	NA	NA
2	1	1	40	NA	NA
2	1	1	41	NA	NA
2	1	1	42	NA	NA
2	1	1	43	NA	NA
2	1	1	44	NA	NA
2	1	1	45	NA	NA
2	1	1	46	NA	NA
2	1	1	47	NA	NA
2	1	1	48	NA	NA
2	1	1	49	NA	NA
2	1	1	50	NA	NA
2	1	2	3	NA	NA
2	1	2	4	NA	NA
2	1	2	5	NA	NA
2	1	2	6	NA	NA
2	1	2	7	NA	NA
2	1	2	8	NA	NA
2	1	2	9	NA	NA
2	1	2	10	NA	NA
2	1	2	11	NA	NA
2	1	2	12	NA	NA
2	1	2	13	NA	NA
2	1	2	14	NA	NA
2	1	2	15	NA	NA
2	1	2	16	NA	NA
2	1	2	17	NA	NA
2	1	2	18	NA	NA
2	1	2	19	NA	NA
2	1	2	20	NA	NA
2	1	2	21	NA	NA
2	1	2	22	NA	NA
2	1	2	23	NA	NA
2	1	2	24	NA	NA
2	1	2	25	NA	NA
2	1	2	26	NA	NA
2	1	2	27	NA	NA
2	1	2	28	NA	NA
2	1	2	29	NA	NA
2	1	2	30	NA	NA
2	1	2	31	NA	NA
2	1	2	32	NA	NA
2	1	2	33	NA	NA
2	1	2	34	NA	NA
2	1	2	35	NA	NA
2	1	2	36	NA	NA
2	1	2	37	NA	NA
2	1	2	38	NA	NA
2	1	2	39	NA	NA
2	1	2	40	NA	NA
2	1	2	41	NA	NA
2	1	2	42	NA	NA
2	1	2	43	NA	NA
2	1	2	44	NA	NA
2	1	2	45	NA	NA
2	1	2	46	NA	NA
2	1	2	47	NA	NA
2	1	2	48	NA	NA
2	1	2	49	NA	NA
2	1	2	50	NA	NA
2	1	3	4	NA	NA
2	1	3	5	NA	NA
2	1	3	6	NA	NA
2	1	3	7	NA	NA
2	1	3	8	NA	NA
2	1	3	9	NA	NA
2	1	3	10	NA	NA
