epiyear	epiweek	weekly_HH_enrolled	weekly_opd_cases	weekly_BMR_hosp_cases	weekly_GISAID_seqs
2022	45	1	53	1193	394
2022	46	1	27	1492	948
2022	47	2	42	1729	437
2022	48	3	30	1423	393
2022	49	1	14	1282	184
2022	50	2	26	1401	471
2022	51	1	17	1047	149
2022	52	2	9	711	211
2023	1	0	4	258	91
2023	2	0	3	235	77
2023	3	0	3	136	256
2023	4	2	5	160	39
2023	5	1	1	62	91
2023	6	1	2	88	16
2023	7	0	1	47	100
2023	8	0	0	64	43
2023	9	1	3	50	23
2023	10	0	0	52	25
2023	11	0	1	83	103
2023	12	0	0	91	48
2023	13	0	0	95	71
2023	14	1	3	116	31
2023	15	2	2	273	85
2023	16	2	12	537	214
2023	17	2	28	736	232
2023	18	1	13	514	220
2023	19	2	34	757	223
2023	20	2	35	824	294
2023	21	2	41	810	207
2023	22	1	27	769	202
2023	23	2	24	794	156
2023	24	1	16	515	103
2023	25	0	10	506	131
2023	26	0	10	160	71
2023	27	0	6	238	85
2023	28	0	2	155	61
2023	29	0	0	124	71
2023	30	0	1	96	43
2023	31	0	1	58	49
2023	32	1	3	72	47
2023	33	0	3	90	48
2023	34	0	3	55	57
2023	35	1	5	30	67
2023	36	2	1	79	41
2023	37	0	0	59	29
2023	38	0	4	79	37
2023	39	0	5	62	35
2023	40	0	2	48	47
2023	41	0	1	34	52
2023	42	0	4	50	53
2023	43	0	0	47	48
2023	44	0	7	68	62
2023	45	1	7	19	54
2023	46	1	12	30	58
2023	47	2	16	55	71
2023	48	0	10	39	84
2023	49	0	3	65	100
2023	50	1	5	48	52
2023	51	0	8	52	75
2023	52	0	8	44	39
2024	1	0	9	82	81
2024	2	0	17	93	82
2024	3	1	7	103	64
2024	4	0	4	82	62
2024	5	1	7	136	55
2024	6	0	4	131	43
2024	7	0	1	88	34
2024	8	0	1	95	41
2024	9	0	1	88	39
2024	10	2	7	85	27
2024	11	0	0	90	27
2024	12	0	1	153	28
2024	13	0	5	217	30
2024	14	0	4	206	26
2024	15	0	2	203	34
2024	16	1	11	242	31
2024	17	0	5	316	49
2024	18	1	14	347	43
2024	19	1	18	300	30
2024	20	3	20	331	64
2024	21	1	10	143	41
2024	22	1	17	196	54
2024	23	1	10	329	74
2024	24	1	11	1223	57
2024	25	0	5	247	53
2024	26	0	10	1658	64
2024	27	0	3	402	40
2024	28	0	3	306	22
2024	29	0	4	416	23
2024	30	0	2	371	19
2024	31	0	1	208	11
2024	32	1	1	232	10
