epiyear	epiweek	major_lineage	weekly_seq_count_this_study	weekly_seq_count_GISAID
2022	45	BA.5	0	54
2022	45	BA.2.75	3	157
2022	45	XBB	0	4
2022	45	Others	0	20
2022	46	BA.5	0	212
2022	46	BA.2.75	2	627
2022	46	XBB	0	17
2022	46	Others	0	92
2022	47	BA.5	1	71
2022	47	BA.2.75	1	336
2022	47	XBB	0	3
2022	47	Others	0	27
2022	48	BA.5	4	41
2022	48	BA.2.75	5	313
2022	48	XBB	0	5
2022	48	Others	0	34
2022	49	BA.5	0	20
2022	49	BA.2.75	5	149
2022	49	XBB	0	1
2022	49	Others	0	14
2022	50	BA.5	0	42
2022	50	BA.2.75	3	399
2022	50	XBB	0	7
2022	50	Others	0	23
2022	51	BA.5	0	3
2022	51	BA.2.75	1	131
2022	51	XBB	0	1
2022	51	Others	0	14
2022	52	BA.5	0	9
2022	52	BA.2.75	5	191
2022	52	Others	0	11
2023	1	BA.2.75	0	83
2023	1	XBB	0	4
2023	1	Others	0	4
2023	2	BA.5	0	1
2023	2	BA.2.75	0	65
2023	2	XBB	0	3
2023	2	Others	0	8
2023	3	BA.5	0	10
2023	3	BA.2.75	0	213
2023	3	XBB	0	6
2023	3	Others	0	27
2023	4	BA.5	0	2
2023	4	BA.2.75	0	36
2023	4	Others	0	1
2023	5	BA.5	0	2
2023	5	BA.2.75	3	72
2023	5	XBB	0	9
2023	5	Others	0	8
2023	6	BA.5	0	1
2023	6	BA.2.75	1	10
2023	6	XBB	0	2
2023	6	Others	0	3
2023	7	BA.5	0	6
2023	7	BA.2.75	0	80
2023	7	XBB	0	4
2023	7	Others	0	10
2023	8	BA.5	0	1
2023	8	BA.2.75	0	28
2023	8	XBB	0	12
2023	8	Others	0	2
2023	9	BA.2.75	1	10
2023	9	XBB	0	10
2023	9	XBL	0	1
2023	9	Others	0	2
2023	10	BA.2.75	0	4
2023	10	XBB	0	13
2023	10	XBL	0	1
2023	10	Others	0	7
2023	11	BA.5	0	1
2023	11	BA.2.75	0	50
2023	11	XBB	0	37
2023	11	Others	0	15
2023	12	BA.2.75	0	7
2023	12	XBB	0	36
2023	12	XBL	0	1
2023	12	Others	0	4
2023	13	BA.2.75	0	7
2023	13	XBB	0	53
2023	13	XBL	0	1
2023	13	Others	0	10
2023	14	BA.2.75	0	4
2023	14	XBB	0	19
2023	14	XBL	0	3
2023	14	Others	0	5
2023	15	BA.2.75	0	18
2023	15	XBB	1	58
2023	15	XBL	2	1
2023	15	Others	0	8
2023	16	BA.5	0	1
2023	16	BA.2.75	0	18
2023	16	XBB	8	164
2023	16	XBL	0	3
2023	16	Others	0	28
2023	17	BA.2.75	0	8
2023	17	XBB	12	197
2023	17	XBL	0	2
2023	17	Others	0	25
2023	18	BA.5	0	2
2023	18	BA.2.75	0	7
2023	18	XBB	0	187
2023	18	XBL	0	3
2023	18	Others	0	21
2023	19	BA.5	0	1
2023	19	BA.2.75	0	10
2023	19	XBB	4	193
2023	19	XBL	0	3
2023	19	Others	0	16
2023	20	BA.5	0	2
2023	20	BA.2.75	0	4
2023	20	XBB	4	255
2023	20	XBL	0	1
2023	20	Others	0	32
2023	21	BA.2.75	0	4
2023	21	XBB	1	187
2023	21	XBL	0	2
2023	21	Others	0	14
2023	22	BA.5	0	1
2023	22	BA.2.75	0	4
2023	22	XBB	5	175
2023	22	XBL	0	1
2023	22	Others	0	21
2023	23	BA.2.75	0	1
2023	23	XBB	5	137
2023	23	Others	0	18
2023	24	BA.2.75	0	1
2023	24	XBB	2	92
2023	24	Others	0	10
2023	25	XBB	0	107
2023	25	Others	0	24
2023	26	XBB	0	56
2023	26	Others	0	15
2023	27	XBB	0	74
2023	27	Others	0	11
2023	28	BA.2.75	0	1
2023	28	XBB	0	51
2023	28	Others	0	9
2023	29	XBB	0	61
2023	29	Others	0	10
2023	30	XBB	0	35
2023	30	Others	0	8
2023	31	XBB	0	43
2023	31	Others	0	6
2023	32	XBB	1	27
2023	32	Others	0	20
2023	33	XBB	0	31
2023	33	Others	0	17
2023	34	XBB	0	46
2023	34	Others	0	11
2023	35	XBB	2	61
2023	35	Others	0	6
2023	36	XBB	1	36
2023	36	Others	0	5
2023	37	XBB	0	22
2023	37	Others	0	7
2023	38	XBB	0	23
2023	38	Others	0	14
2023	39	XBB	0	20
2023	39	BA.2.86	0	2
2023	39	Others	0	13
2023	40	XBB	0	36
2023	40	Others	0	11
2023	41	XBB	0	33
2023	41	BA.2.86	0	1
2023	41	Others	0	18
2023	42	XBB	0	34
2023	42	BA.2.86	0	1
2023	42	Others	0	18
2023	43	XBB	0	32
2023	43	BA.2.86	0	3
2023	43	Others	0	13
2023	44	XBB	0	38
2023	44	BA.2.86	0	6
2023	44	Others	0	18
2023	45	XBB	3	35
2023	45	BA.2.86	0	6
2023	45	Others	0	13
2023	46	XBB	1	34
2023	46	BA.2.86	0	6
2023	46	Others	0	18
2023	47	XBB	3	36
2023	47	BA.2.86	0	19
2023	47	Others	0	16
2023	48	XBB	0	38
2023	48	BA.2.86	0	32
2023	48	Others	0	14
2023	49	XBB	0	57
2023	49	BA.2.86	0	20
2023	49	Others	0	23
2023	50	XBB	0	21
2023	50	BA.2.86	0	17
2023	50	Others	0	14
2023	51	BA.2.75	0	1
2023	51	XBB	3	28
2023	51	BA.2.86	0	32
2023	51	Others	0	14
2023	52	XBB	0	8
2023	52	BA.2.86	0	24
2023	52	Others	0	7
2024	1	XBB	0	17
2024	1	BA.2.86	0	46
2024	1	Others	0	18
2024	2	XBB	0	10
2024	2	BA.2.86	0	54
2024	2	Others	0	18
2024	3	XBB	0	11
2024	3	BA.2.86	3	46
2024	3	Others	0	7
2024	4	XBB	0	4
2024	4	BA.2.86	0	49
2024	4	Others	0	9
2024	5	XBB	0	3
2024	5	BA.2.86	0	48
2024	5	Others	0	4
2024	6	XBB	0	3
2024	6	BA.2.86	1	36
2024	6	Others	0	4
2024	7	XBB	0	1
2024	7	BA.2.86	0	27
2024	7	Others	0	6
2024	8	XBB	0	1
2024	8	BA.2.86	0	31
2024	8	Others	0	9
2024	9	BA.2.86	0	36
2024	9	Others	0	4
2024	10	XBB	0	1
2024	10	BA.2.86	3	34
2024	10	Others	0	4
2024	11	BA.2.86	0	28
2024	11	Others	0	10
2024	12	BA.2.86	0	34
2024	12	Others	0	9
2024	13	BA.2.86	0	35
2024	13	Others	0	10
2024	14	XBB	0	1
2024	14	BA.2.86	0	30
2024	14	Others	0	8
2024	15	XBB	1	0
2024	15	BA.2.86	0	31
2024	15	Others	0	3
2024	16	BA.2.86	3	25
2024	16	Others	0	6
2024	17	BA.2.86	0	43
2024	17	Others	0	6
2024	18	BA.2.86	0	35
2024	18	Others	0	8
2024	19	BA.2.86	4	25
2024	19	Others	0	5
2024	20	BA.2.86	7	50
2024	20	Others	0	14
2024	21	BA.2.86	4	30
2024	21	Others	0	11
2024	22	BA.2.86	4	40
2024	22	Others	0	14
2024	23	BA.2.86	0	59
2024	23	Others	0	15
2024	24	BA.2.86	4	44
2024	24	Others	0	13
2024	25	BA.2.86	0	43
2024	25	Others	0	10
2024	26	BA.2.86	0	46
2024	26	Others	0	18
2024	27	BA.2.86	0	31
2024	27	Others	0	9
2024	28	BA.2.86	0	18
2024	28	Others	0	4
2024	29	BA.2.86	0	18
2024	29	Others	0	5
2024	30	BA.2.86	0	11
2024	30	Others	0	8
2024	31	BA.2.86	0	3
2024	31	Others	0	8
2024	32	BA.2.86	0	5
2024	32	Others	0	5
2024	33	BA.2.86	1	0
